RowID,AnonID,Domicile on Programme Entry,Gender,Programme Status Description,Programme Of Study Sought Code,Programme Of Study Sought Title,Year Of Programme,Year Of Attendance,Manual Entry
1,FRN,Scotland,F,Fully matriculated,UTMATHB,Mathematics,2,5,0
2,LAC,Scotland,M,Fully matriculated,UTCMPMA,Computer Science and Mathematics,2,3,0
3,BHZ,England,M,Fully matriculated,UTMMATHEMA1F,Mathematics,2,3,0
4,BSY,Scotland,F,Fully matriculated,UTMATHB,Mathematics,2,3,0
5,NDS,Scotland,F,Fully matriculated,UTMATHB,Mathematics,2,4,0
6,JED,Scotland,M,Fully matriculated,UTMMATHEMA1F,Mathematics,2,4,0
7,CAU,Hungary,M,Fully matriculated,UTMATHB,Mathematics,2,3,0
8,NML,England,M,Fully matriculated,UTMATHB,Mathematics,2,2,0
9,PCH,Scotland,M,Fully matriculated,UTMATHB,Mathematics,2,3,0
10,HNJ,Scotland,M,Fully matriculated,UTMMATHEMA1F,Mathematics,2,2,0
11,UCN,Scotland,M,Fully matriculated,UTMMATHEMA1F,Mathematics,2,3,0
12,XNJ,China,M,Fully matriculated,UTCOSCS,Cognitive Science (Humanities),2,3,1
13,JXL,China,F,Fully matriculated,UTMATST,Mathematics and Statistics,2,2,0
14,YDX,Scotland,F,Fully matriculated,UTBSCMATBI1F,Mathematics and Biology,2,3,0
15,TZG,England,M,Fully matriculated,UTMMATHEMA1F,Mathematics,2,3,0
16,FUX,Scotland,M,Fully matriculated,UTMATPH,Mathematics and Physics,2,2,0
17,HCT,Cyprus (European Union),M,Fully matriculated,UTMATHB,Mathematics,2,2,0
18,XZU,Scotland,M,Fully matriculated,UTMATHB,Mathematics,2,3,0
19,ZMJ,China,F,Fully matriculated,UTBSCMATBU1F,Mathematics and Business,2,2,0
20,EFN,China,F,Fully matriculated,UTMATHB,Mathematics,2,2,0
21,JGC,England,M,Fully matriculated,UTECNST,Economics and Statistics,2,2,1
22,BDH,Scotland,F,Fully matriculated,UTMMATHEMA1F,Mathematics,2,3,0
23,ZRB,England,M,Fully matriculated,UTMATHB,Mathematics,2,3,0
24,ELK,Scotland,M,Fully matriculated,UTTHEPHMPHYS,Theoretical Physics,2,2,1
25,BAU,China,M,Fully matriculated,UTECNST,Economics and Statistics,2,2,1
26,WPX,China,F,Fully matriculated,UTBSCMATBU1F,Mathematics and Business,2,2,0
27,HWB,China,M,Fully matriculated,UTBSCMATBU1F,Mathematics and Business,2,2,0
28,NSR,China,F,Fully matriculated,UTMATHB,Mathematics,2,2,0
29,WZJ,Romania,F,Fully matriculated,UTMATHB,Mathematics,2,2,0
30,JTK,China,M,Fully matriculated,UTBSCMATBU1F,Mathematics and Business,2,2,0
31,SUD,England,M,Fully matriculated,UTMMATHEMA1F,Mathematics,2,2,0
32,EZR,Spain,F,Fully matriculated,UTMATHB,Mathematics,2,2,0
33,PXX,England,M,Fully matriculated,UTMATST,Mathematics and Statistics,2,2,0
34,NYC,England,M,Fully matriculated,UTCMPMA,Computer Science and Mathematics,2,2,0
35,EAD,Spain,F,Fully matriculated,UTMATHB,Mathematics,2,2,0
36,KSJ,Malaysia,F,Fully matriculated,UTMATST,Mathematics and Statistics,2,2,0
37,SKG,Sri Lanka,M,Fully matriculated,UTAPMAT,Applied Mathematics,2,2,0
38,UUH,England,M,Fully matriculated,UTMATHB,Mathematics,2,2,0
39,ZCA,Scotland,M,Fully matriculated,UTMATHB,Mathematics,2,2,0
40,ZNF,England,M,Fully matriculated,UTMMATHEMA1F,Mathematics,2,2,0
41,SST,England,M,Fully matriculated,UTMMATHEMA1F,Mathematics,2,2,0
42,WGX,China,F,Fully matriculated,UTMATPH,Mathematics and Physics,2,2,0
43,YKH,England,M,Fully matriculated,UTECNMA,Economics and Mathematics,2,2,0
44,TXK,Scotland,F,Fully matriculated,UTMMATHEMA1F,Mathematics,2,2,0
45,ATZ,Scotland,F,Fully matriculated,UTECNMC,Economics,2,2,1
46,RWN,Scotland,M,Fully matriculated,UTECNMA,Economics and Mathematics,2,2,0
47,FLE,Russian Federation,M,Fully matriculated,UTMATPH,Mathematics and Physics,2,2,0
